date,hostname,os,uptime_hours,active_session_minutes,cpu_usage_percent,memory_usage_percent,disk_free_gb,health_status
"2026-04-03 10:12:31","X29995","Microsoft Windows 11 Enterprise",1.73,103.91,53.4,45.2,27.7,"Healthy"
"2026-04-03 10:12:33","X29995","Microsoft Windows 11 Enterprise",1.73,103.95,20.2,46.6,27.7,"Healthy"
"2026-04-03 10:12:35","X29995","Microsoft Windows 11 Enterprise",1.73,103.99,35.6,46.5,27.7,"Healthy"
"2026-04-03 10:12:38","X29995","Microsoft Windows 11 Enterprise",1.73,104.03,82.8,47.0,27.7,"Warning"
"2026-04-03 10:12:41","X29995","Microsoft Windows 11 Enterprise",1.73,104.08,75.6,46.8,27.7,"Warning"
"2026-04-03 10:12:44","X29995","Microsoft Windows 11 Enterprise",1.74,104.13,83.8,46.9,27.7,"Warning"
"2026-04-03 10:12:47","X29995","Microsoft Windows 11 Enterprise",1.74,104.18,83.5,46.9,27.7,"Warning"
"2026-04-03 10:12:50","X29995","Microsoft Windows 11 Enterprise",1.74,104.23,79.5,46.8,27.7,"Warning"
"2026-04-03 10:12:53","X29995","Microsoft Windows 11 Enterprise",1.74,104.29,85.0,46.9,27.7,"Warning"
"2026-04-03 10:12:56","X29995","Microsoft Windows 11 Enterprise",1.74,104.33,76.5,48.0,27.7,"Warning"
"2026-04-03 10:12:59","X29995","Microsoft Windows 11 Enterprise",1.74,104.38,62.0,48.3,27.7,"Healthy"
"2026-04-03 10:13:01","X29995","Microsoft Windows 11 Enterprise",1.74,104.42,60.9,48.6,27.7,"Healthy"
"2026-04-03 10:13:04","X29995","Microsoft Windows 11 Enterprise",1.74,104.46,66.7,48.8,27.7,"Healthy"
"2026-04-03 10:13:06","X29995","Microsoft Windows 11 Enterprise",1.74,104.51,83.4,48.9,27.7,"Warning"
"2026-04-03 10:13:11","X29995","Microsoft Windows 11 Enterprise",1.74,104.58,75.4,50.1,27.7,"Warning"
"2026-04-03 10:13:13","X29995","Microsoft Windows 11 Enterprise",1.74,104.62,76.2,52.1,27.7,"Warning"
"2026-04-03 10:13:16","X29995","Microsoft Windows 11 Enterprise",1.74,104.67,84.8,52.6,27.7,"Warning"
"2026-04-03 10:13:19","X29995","Microsoft Windows 11 Enterprise",1.75,104.71,77.8,52.7,27.7,"Warning"
"2026-04-03 10:13:22","X29995","Microsoft Windows 11 Enterprise",1.75,104.76,85.2,52.7,27.7,"Warning"
"2026-04-03 10:13:24","X29995","Microsoft Windows 11 Enterprise",1.75,104.80,84.9,52.8,27.7,"Warning"
"2026-04-03 10:13:27","X29995","Microsoft Windows 11 Enterprise",1.75,104.85,86.5,52.7,27.7,"Warning"
"2026-04-03 10:13:29","X29995","Microsoft Windows 11 Enterprise",1.75,104.89,85.9,53.2,27.7,"Warning"
"2026-04-03 10:13:32","X29995","Microsoft Windows 11 Enterprise",1.75,104.93,84.8,53.7,27.7,"Warning"
"2026-04-03 10:13:34","X29995","Microsoft Windows 11 Enterprise",1.75,104.97,38.0,54.0,27.7,"Healthy"
"2026-04-03 10:13:36","X29995","Microsoft Windows 11 Enterprise",1.75,105.01,36.4,54.8,27.7,"Healthy"
"2026-04-03 10:13:39","X29995","Microsoft Windows 11 Enterprise",1.75,105.05,29.1,55.6,27.7,"Healthy"
"2026-04-03 10:13:41","X29995","Microsoft Windows 11 Enterprise",1.75,105.08,28.7,57.4,27.7,"Healthy"
"2026-04-03 10:13:43","X29995","Microsoft Windows 11 Enterprise",1.75,105.12,25.0,59.6,27.7,"Healthy"
"2026-04-03 10:13:46","X29995","Microsoft Windows 11 Enterprise",1.75,105.16,51.0,61.0,27.7,"Healthy"
"2026-04-03 10:13:48","X29995","Microsoft Windows 11 Enterprise",1.75,105.20,30.1,62.0,27.7,"Healthy"
"2026-04-03 10:13:50","X29995","Microsoft Windows 11 Enterprise",1.75,105.24,31.9,63.4,27.7,"Healthy"
"2026-04-03 10:13:53","X29995","Microsoft Windows 11 Enterprise",1.75,105.28,40.9,64.8,27.7,"Healthy"
"2026-04-03 10:13:55","X29995","Microsoft Windows 11 Enterprise",1.76,105.31,35.6,64.8,27.7,"Healthy"
"2026-04-03 10:13:57","X29995","Microsoft Windows 11 Enterprise",1.76,105.35,35.8,64.8,27.7,"Healthy"
"2026-04-03 10:13:59","X29995","Microsoft Windows 11 Enterprise",1.76,105.39,36.1,64.8,27.7,"Healthy"
"2026-04-03 10:14:02","X29995","Microsoft Windows 11 Enterprise",1.76,105.43,34.5,64.8,27.7,"Healthy"
"2026-04-03 10:14:04","X29995","Microsoft Windows 11 Enterprise",1.76,105.47,33.0,64.8,27.7,"Healthy"
"2026-04-03 10:14:06","X29995","Microsoft Windows 11 Enterprise",1.76,105.50,38.4,64.8,27.7,"Healthy"
"2026-04-03 10:14:09","X29995","Microsoft Windows 11 Enterprise",1.76,105.54,34.5,64.8,27.7,"Healthy"
"2026-04-03 10:14:11","X29995","Microsoft Windows 11 Enterprise",1.76,105.58,31.9,65.6,27.7,"Healthy"
"2026-04-03 10:14:13","X29995","Microsoft Windows 11 Enterprise",1.76,105.62,30.7,66.6,27.7,"Healthy"
"2026-04-03 10:14:15","X29995","Microsoft Windows 11 Enterprise",1.76,105.66,28.4,67.3,27.7,"Healthy"
"2026-04-03 10:14:18","X29995","Microsoft Windows 11 Enterprise",1.76,105.70,33.9,69.1,27.7,"Healthy"
"2026-04-03 10:14:20","X29995","Microsoft Windows 11 Enterprise",1.76,105.73,15.1,70.6,27.7,"Healthy"
"2026-04-03 10:14:22","X29995","Microsoft Windows 11 Enterprise",1.76,105.77,14.1,53.2,27.7,"Healthy"
"2026-04-03 10:14:25","X29995","Microsoft Windows 11 Enterprise",1.76,105.81,6.1,44.9,27.7,"Healthy"
"2026-04-03 10:14:27","X29995","Microsoft Windows 11 Enterprise",1.76,105.85,5.1,44.9,27.7,"Healthy"
"2026-04-03 10:14:29","X29995","Microsoft Windows 11 Enterprise",1.76,105.89,8.4,44.9,27.7,"Healthy"
"2026-04-03 10:14:32","X29995","Microsoft Windows 11 Enterprise",1.77,105.93,10.0,44.9,27.7,"Healthy"
"2026-04-03 10:14:34","X29995","Microsoft Windows 11 Enterprise",1.77,105.97,4.2,44.9,27.7,"Healthy"
"2026-04-03 10:14:36","X29995","Microsoft Windows 11 Enterprise",1.77,106.01,5.5,44.9,27.7,"Healthy"
"2026-04-03 10:14:39","X29995","Microsoft Windows 11 Enterprise",1.77,106.05,7.4,44.9,27.7,"Healthy"
"2026-04-03 10:14:41","X29995","Microsoft Windows 11 Enterprise",1.77,106.09,8.7,44.9,27.7,"Healthy"
"2026-04-03 10:14:44","X29995","Microsoft Windows 11 Enterprise",1.77,106.13,8.3,44.8,27.7,"Healthy"
"2026-04-03 10:14:46","X29995","Microsoft Windows 11 Enterprise",1.77,106.17,20.2,44.8,27.7,"Healthy"
"2026-04-03 10:14:48","X29995","Microsoft Windows 11 Enterprise",1.77,106.20,19.1,43.5,27.7,"Healthy"
"2026-04-03 10:14:51","X29995","Microsoft Windows 11 Enterprise",1.77,106.24,8.8,40.3,27.7,"Healthy"
"2026-04-03 10:14:53","X29995","Microsoft Windows 11 Enterprise",1.77,106.28,12.0,40.2,27.7,"Healthy"
"2026-04-03 10:14:55","X29995","Microsoft Windows 11 Enterprise",1.77,106.32,14.2,40.3,27.7,"Healthy"
"2026-04-03 10:14:58","X29995","Microsoft Windows 11 Enterprise",1.77,106.36,19.0,40.2,27.7,"Healthy"
"2026-04-03 10:15:00","X29995","Microsoft Windows 11 Enterprise",1.77,106.40,19.0,32.3,27.7,"Healthy"
"2026-04-03 10:15:02","X29995","Microsoft Windows 11 Enterprise",1.77,106.44,8.5,32.2,27.7,"Healthy"
"2026-04-03 10:15:04","X29995","Microsoft Windows 11 Enterprise",1.77,106.47,3.9,32.2,27.7,"Healthy"
"2026-04-03 10:15:07","X29995","Microsoft Windows 11 Enterprise",1.78,106.51,5.1,32.1,27.7,"Healthy"
"2026-04-03 10:15:09","X29995","Microsoft Windows 11 Enterprise",1.78,106.55,4.7,32.1,27.7,"Healthy"
"2026-04-03 10:15:11","X29995","Microsoft Windows 11 Enterprise",1.78,106.59,5.3,32.1,27.7,"Healthy"
"2026-04-03 10:15:14","X29995","Microsoft Windows 11 Enterprise",1.78,106.63,0.3,32.1,27.7,"Healthy"
"2026-04-03 10:15:16","X29995","Microsoft Windows 11 Enterprise",1.78,106.67,3.1,32.1,27.7,"Healthy"
"2026-04-03 10:15:18","X29995","Microsoft Windows 11 Enterprise",1.78,106.70,5.7,32.0,27.7,"Healthy"
"2026-04-03 10:15:21","X29995","Microsoft Windows 11 Enterprise",1.78,106.74,6.1,32.0,27.7,"Healthy"
