date,hostname,os,uptime_hours,adobe_runtime_minutes,cpu_usage_percent,memory_usage_percent,disk_free_gb,health_status,ticket_opened
2026-02-08,EDGE-003,Ubuntu 24.04,14.36,9.29,92.2,79.2,89.0,Failure,True
2026-02-08,EDGE-004,Windows 11,14.35,11.06,91.5,49.1,8.0,Failure,False
2026-02-08,EDGE-005,Windows XP,19.54,11.79,9.6,43.5,74.4,Healthy,False
2026-02-08,EDGE-006,Ubuntu 24.04,20.53,12.5,42.8,44.8,219.6,Healthy,False
2026-02-08,EDGE-007,Ubuntu 24.04,15.78,4.16,41.8,51.8,158.3,Healthy,False
2026-02-08,EDGE-008,Windows 11,16.24,13.41,13.1,91.7,321.8,Warning,False
2026-02-08,EDGE-009,Ubuntu 24.04,21.92,11.37,48.8,51.4,296.1,Healthy,False
2026-02-08,EDGE-010,Ubuntu 24.04,13.91,13.42,14.5,44.5,353.0,Healthy,False
2026-02-09,EDGE-001,Windows XP,19.15,14.3,67.8,34.4,146.4,Healthy,False
2026-02-09,EDGE-002,Fedora 41,15.57,3.2,37.6,52.0,107.3,Healthy,False
2026-02-09,EDGE-003,Ubuntu 24.04,24.0,21.71,10.9,66.7,174.4,Healthy,False
2026-02-09,EDGE-004,Windows 11,24.0,9.51,62.7,44.1,480.0,Healthy,False
2026-02-09,EDGE-005,Windows XP,14.88,8.53,34.2,52.4,145.7,Healthy,False
2026-02-09,EDGE-006,Ubuntu 24.04,15.86,6.47,47.1,43.1,174.3,Healthy,False
2026-02-09,EDGE-007,Ubuntu 24.04,22.46,8.01,44.2,75.1,197.3,Healthy,False
2026-02-09,EDGE-008,Windows 11,24.0,3.41,52.8,91.0,135.5,Warning,False
2026-02-09,EDGE-009,Ubuntu 24.04,23.55,13.72,9.9,49.9,75.4,Healthy,False
2026-02-09,EDGE-010,Ubuntu 24.04,18.56,10.61,68.1,93.5,129.8,Failure,True
2026-02-10,EDGE-001,Windows XP,9.44,5.71,42.7,69.7,93.0,Healthy,False
2026-02-10,EDGE-002,Fedora 41,11.94,8.49,41.8,52.5,214.2,Healthy,False
2026-02-10,EDGE-003,Ubuntu 24.04,10.17,6.72,97.1,62.9,150.0,Failure,True
2026-02-10,EDGE-004,Windows 11,15.17,12.8,41.9,62.4,77.6,Healthy,False
2026-02-10,EDGE-005,Windows XP,24.0,6.42,37.5,72.3,8.1,Failure,True
2026-02-10,EDGE-006,Ubuntu 24.04,13.91,8.7,26.1,45.6,119.4,Healthy,False
2026-02-10,EDGE-007,Ubuntu 24.04,15.67,0.44,88.5,56.7,233.1,Warning,False
2026-02-10,EDGE-008,Windows 11,20.08,9.06,41.2,69.7,208.5,Healthy,False
2026-02-10,EDGE-009,Ubuntu 24.04,16.7,10.02,40.9,59.2,202.2,Healthy,False
2026-02-10,EDGE-010,Ubuntu 24.04,19.71,17.06,41.6,47.4,202.1,Healthy,False
2026-02-11,EDGE-001,Windows XP,6.97,3.21,95.8,33.4,215.0,Failure,False
2026-02-11,EDGE-002,Fedora 41,21.85,1.28,8.7,53.9,8.0,Failure,True
2026-02-11,EDGE-003,Ubuntu 24.04,12.0,4.4,31.3,69.1,191.0,Healthy,False
2026-02-11,EDGE-004,Windows 11,20.06,2.12,44.2,33.3,306.0,Healthy,False
2026-02-11,EDGE-005,Windows XP,15.57,7.88,88.2,59.6,165.9,Warning,True
2026-02-11,EDGE-006,Ubuntu 24.04,19.34,6.42,39.7,55.0,102.2,Healthy,False
2026-02-11,EDGE-007,Ubuntu 24.04,23.96,5.32,70.9,68.1,151.5,Healthy,False
2026-02-11,EDGE-008,Windows 11,19.17,17.38,54.9,74.1,164.3,Healthy,False
2026-02-11,EDGE-009,Ubuntu 24.04,16.07,0.32,85.5,83.9,156.6,Warning,True
2026-02-11,EDGE-010,Ubuntu 24.04,15.36,0.64,92.6,25.8,220.2,Failure,True
2026-02-12,EDGE-001,Windows XP,14.64,2.29,45.9,58.5,195.5,Healthy,False
2026-02-12,EDGE-002,Fedora 41,18.96,9.56,98.5,31.4,169.5,Failure,True
2026-02-12,EDGE-003,Ubuntu 24.04,16.09,12.73,50.9,45.7,184.5,Healthy,False
2026-02-12,EDGE-004,Windows 11,13.72,13.22,29.8,44.9,286.6,Healthy,False
2026-02-12,EDGE-005,Windows XP,15.97,13.28,77.4,78.5,162.2,Healthy,False
2026-02-12,EDGE-006,Ubuntu 24.04,20.05,19.62,32.1,24.0,26.2,Warning,False
2026-02-12,EDGE-007,Ubuntu 24.04,18.62,13.56,38.9,49.5,240.0,Healthy,False
2026-02-12,EDGE-008,Windows 11,23.71,11.47,44.7,73.8,188.7,Healthy,False
2026-02-12,EDGE-009,Ubuntu 24.04,15.04,7.66,99.5,56.2,321.6,Failure,True
2026-02-12,EDGE-010,Ubuntu 24.04,17.73,9.87,97.6,46.0,219.5,Failure,True
2026-02-13,EDGE-001,Windows XP,24.0,22.78,50.1,52.0,8.0,Failure,False
2026-02-13,EDGE-002,Fedora 41,20.38,15.54,49.7,48.1,13.3,Failure,True
2026-02-13,EDGE-003,Ubuntu 24.04,11.33,6.17,47.9,28.3,216.4,Healthy,False
2026-02-13,EDGE-004,Windows 11,24.0,2.41,44.2,95.4,244.4,Failure,True
2026-02-13,EDGE-005,Windows XP,22.68,10.13,41.7,49.4,230.5,Healthy,False
2026-02-13,EDGE-006,Ubuntu 24.04,17.99,2.12,70.2,60.9,8.0,Failure,True
2026-02-13,EDGE-007,Ubuntu 24.04,12.95,5.03,40.2,59.3,254.0,Healthy,False
2026-02-13,EDGE-008,Windows 11,24.0,12.55,31.3,51.3,98.5,Healthy,False
2026-02-13,EDGE-009,Ubuntu 24.04,18.18,6.64,52.1,28.5,192.7,Healthy,False
2026-02-13,EDGE-010,Ubuntu 24.04,22.8,19.21,43.7,40.6,278.6,Healthy,False
2026-02-14,EDGE-001,Windows XP,20.05,3.88,99.8,56.5,258.4,Failure,False
2026-02-14,EDGE-002,Fedora 41,22.13,9.25,2.7,66.9,15.1,Warning,False
2026-02-14,EDGE-003,Ubuntu 24.04,18.89,18.04,97.0,42.2,116.4,Failure,False
2026-02-14,EDGE-004,Windows 11,20.6,6.67,46.2,76.9,175.5,Healthy,False
2026-02-14,EDGE-005,Windows XP,24.0,10.71,79.1,86.5,166.5,Warning,False
2026-02-14,EDGE-006,Ubuntu 24.04,18.35,8.23,97.3,55.5,189.4,Failure,False
2026-02-14,EDGE-007,Ubuntu 24.04,21.74,1.25,15.6,89.7,254.2,Warning,False
2026-02-14,EDGE-008,Windows 11,20.57,0.42,97.7,56.5,216.0,Failure,True
2026-02-14,EDGE-009,Ubuntu 24.04,10.39,4.19,20.9,46.0,22.2,Warning,False
2026-02-14,EDGE-010,Ubuntu 24.04,17.93,4.62,26.8,3.0,188.6,Healthy,False
2026-02-15,EDGE-001,Windows XP,13.17,5.81,35.2,52.3,44.3,Healthy,False
2026-02-15,EDGE-002,Fedora 41,21.2,9.22,93.4,64.4,299.2,Failure,False
2026-02-15,EDGE-003,Ubuntu 24.04,19.63,3.19,33.9,73.8,175.3,Healthy,False
2026-02-15,EDGE-004,Windows 11,21.92,16.0,48.0,32.5,236.1,Healthy,False
2026-02-15,EDGE-005,Windows XP,20.35,18.13,80.4,87.6,402.5,Warning,False
2026-02-15,EDGE-006,Ubuntu 24.04,19.19,10.21,87.4,84.8,204.3,Warning,False
2026-02-15,EDGE-007,Ubuntu 24.04,24.0,17.86,50.3,75.3,106.6,Healthy,False
2026-02-15,EDGE-008,Windows 11,15.35,13.13,38.3,24.7,372.6,Healthy,False
2026-02-15,EDGE-009,Ubuntu 24.04,24.0,5.19,84.4,82.2,8.0,Failure,False
2026-02-15,EDGE-010,Ubuntu 24.04,24.0,4.87,88.3,61.1,8.0,Failure,True
2026-02-16,EDGE-001,Windows XP,16.01,13.18,47.1,25.2,225.6,Healthy,False
2026-02-16,EDGE-002,Fedora 41,24.0,19.47,40.2,66.6,53.8,Healthy,False
2026-02-16,EDGE-003,Ubuntu 24.04,16.83,4.98,90.4,30.2,155.4,Warning,True
2026-02-16,EDGE-004,Windows 11,16.39,2.41,25.3,42.3,123.7,Healthy,False
2026-02-16,EDGE-005,Windows XP,13.18,7.63,18.1,51.6,170.9,Healthy,False
2026-02-16,EDGE-006,Ubuntu 24.04,15.32,8.55,57.8,56.8,123.0,Healthy,False
2026-02-16,EDGE-007,Ubuntu 24.04,17.64,12.56,28.0,42.2,11.3,Failure,True
2026-02-16,EDGE-008,Windows 11,10.18,3.96,36.4,64.8,27.0,Warning,True
2026-02-16,EDGE-009,Ubuntu 24.04,12.88,7.32,97.5,53.2,278.7,Failure,False
2026-02-16,EDGE-010,Ubuntu 24.04,22.99,19.51,27.9,11.4,354.4,Healthy,False
2026-02-17,EDGE-001,Windows XP,15.15,8.21,70.7,69.3,147.8,Healthy,False
2026-02-17,EDGE-002,Fedora 41,22.57,21.7,33.6,77.9,226.3,Healthy,False
2026-02-17,EDGE-003,Ubuntu 24.04,22.72,18.03,48.8,31.9,85.2,Healthy,False
2026-02-17,EDGE-004,Windows 11,16.73,15.14,40.0,49.0,116.0,Healthy,False
2026-02-17,EDGE-005,Windows XP,14.59,14.35,48.9,33.4,211.1,Healthy,False
2026-02-17,EDGE-006,Ubuntu 24.04,13.22,10.97,10.3,70.1,153.0,Healthy,False
2026-02-17,EDGE-007,Ubuntu 24.04,15.52,2.54,79.6,77.9,78.8,Warning,False
2026-02-17,EDGE-008,Windows 11,22.29,19.51,17.7,59.9,8.6,Failure,True
2026-02-17,EDGE-009,Ubuntu 24.04,21.68,9.66,98.9,33.6,86.6,Failure,True
2026-02-17,EDGE-010,Ubuntu 24.04,14.07,10.67,37.3,91.3,200.0,Warning,False
2026-02-18,EDGE-001,Windows XP,21.49,0.58,51.9,43.0,366.4,Healthy,False
2026-02-18,EDGE-002,Fedora 41,16.76,2.01,50.3,56.4,136.5,Healthy,False
2026-02-18,EDGE-003,Ubuntu 24.04,24.0,11.4,53.8,49.4,21.8,Warning,True
2026-02-18,EDGE-004,Windows 11,14.43,6.33,31.0,61.7,264.6,Healthy,False
2026-02-18,EDGE-005,Windows XP,10.63,10.39,56.6,27.6,249.0,Healthy,False
2026-02-18,EDGE-006,Ubuntu 24.04,13.56,5.17,59.3,53.1,168.9,Healthy,False
2026-02-18,EDGE-007,Ubuntu 24.04,18.87,6.56,45.3,54.2,23.9,Warning,True
2026-02-18,EDGE-008,Windows 11,20.49,8.13,25.4,54.0,302.0,Healthy,False
2026-02-18,EDGE-009,Ubuntu 24.04,20.93,12.68,51.2,54.7,203.1,Healthy,False
2026-02-18,EDGE-010,Ubuntu 24.04,15.79,11.96,57.2,50.5,36.8,Warning,True
2026-02-19,EDGE-001,Windows XP,18.32,8.43,55.1,70.1,235.9,Healthy,False
2026-02-19,EDGE-002,Fedora 41,10.92,8.32,40.3,35.6,122.5,Healthy,False
2026-02-19,EDGE-003,Ubuntu 24.04,18.89,0.07,43.2,32.5,143.9,Healthy,False
2026-02-19,EDGE-004,Windows 11,20.03,4.7,81.8,81.4,338.7,Warning,False
2026-02-19,EDGE-005,Windows XP,20.43,1.86,37.6,78.1,204.6,Healthy,False
2026-02-19,EDGE-006,Ubuntu 24.04,18.91,8.94,56.2,41.7,121.0,Healthy,False
2026-02-19,EDGE-007,Ubuntu 24.04,21.62,16.78,52.3,24.4,189.7,Healthy,False
2026-02-19,EDGE-008,Windows 11,19.64,5.67,99.9,69.1,159.1,Failure,True
2026-02-19,EDGE-009,Ubuntu 24.04,15.19,10.91,88.3,34.0,255.0,Warning,True
2026-02-19,EDGE-010,Ubuntu 24.04,17.55,9.22,21.1,88.3,210.4,Warning,False
2026-02-20,EDGE-001,Windows XP,21.5,11.41,41.0,46.1,142.0,Healthy,False
2026-02-20,EDGE-002,Fedora 41,18.17,7.89,34.3,63.1,18.3,Warning,False
2026-02-20,EDGE-003,Ubuntu 24.04,12.49,9.0,94.7,39.7,332.8,Failure,True
2026-02-20,EDGE-004,Windows 11,10.56,2.52,49.1,52.8,8.0,Failure,True
2026-02-20,EDGE-005,Windows XP,7.99,4.82,83.7,81.4,202.6,Warning,False
2026-02-20,EDGE-006,Ubuntu 24.04,17.08,0.2,21.7,61.4,276.6,Healthy,False
2026-02-20,EDGE-007,Ubuntu 24.04,12.25,4.65,44.6,36.2,93.6,Healthy,False
2026-02-20,EDGE-008,Windows 11,15.75,7.21,89.9,50.6,329.5,Warning,False
2026-02-20,EDGE-009,Ubuntu 24.04,20.54,14.31,98.5,54.9,227.9,Failure,False
2026-02-20,EDGE-010,Ubuntu 24.04,19.56,13.38,41.4,41.3,260.6,Healthy,False
2026-02-21,EDGE-001,Windows XP,21.44,13.7,92.4,65.8,8.0,Failure,False
2026-02-21,EDGE-002,Fedora 41,16.58,15.88,31.2,99.9,276.4,Failure,True
2026-02-21,EDGE-003,Ubuntu 24.04,9.44,7.36,31.3,79.1,35.7,Warning,False
2026-02-21,EDGE-004,Windows 11,19.77,18.61,36.6,55.4,174.4,Healthy,False
2026-02-21,EDGE-005,Windows XP,9.26,3.26,88.3,36.2,158.4,Warning,True
2026-02-21,EDGE-006,Ubuntu 24.04,18.12,14.99,34.8,41.0,231.2,Healthy,False
2026-02-21,EDGE-007,Ubuntu 24.04,24.0,7.11,59.8,62.0,28.4,Warning,True
2026-02-21,EDGE-008,Windows 11,15.9,14.31,36.2,78.7,113.8,Healthy,False
2026-02-21,EDGE-009,Ubuntu 24.04,7.43,1.05,36.3,44.3,61.8,Healthy,False
2026-02-21,EDGE-010,Ubuntu 24.04,13.75,13.34,32.4,35.2,163.4,Healthy,False
2026-02-22,EDGE-001,Windows XP,20.61,12.93,37.3,49.2,240.8,Healthy,False
2026-02-22,EDGE-002,Fedora 41,12.52,2.66,47.7,63.5,142.1,Healthy,False
2026-02-22,EDGE-003,Ubuntu 24.04,18.29,4.16,49.0,81.0,73.9,Warning,True
2026-02-22,EDGE-004,Windows 11,22.9,19.06,32.6,31.1,67.6,Healthy,False
2026-02-22,EDGE-005,Windows XP,20.52,20.34,43.1,26.0,335.6,Healthy,False
2026-02-22,EDGE-006,Ubuntu 24.04,9.89,9.75,43.9,76.5,155.6,Healthy,False
2026-02-22,EDGE-007,Ubuntu 24.04,21.53,5.16,37.7,28.3,30.8,Warning,False
2026-02-22,EDGE-008,Windows 11,17.34,16.73,90.1,41.5,364.6,Warning,False
2026-02-22,EDGE-009,Ubuntu 24.04,19.47,1.81,54.6,92.2,206.3,Failure,True
2026-02-22,EDGE-010,Ubuntu 24.04,14.7,13.63,57.1,48.6,436.0,Healthy,False
2026-02-23,EDGE-001,Windows XP,16.99,13.37,61.2,52.5,446.5,Healthy,False
2026-02-23,EDGE-002,Fedora 41,21.5,3.27,24.2,42.0,107.9,Healthy,False
2026-02-23,EDGE-003,Ubuntu 24.04,4.98,2.35,21.1,30.4,207.8,Healthy,False
2026-02-23,EDGE-004,Windows 11,23.52,14.76,89.7,33.4,249.3,Warning,False
2026-02-23,EDGE-005,Windows XP,24.0,19.46,62.4,42.9,273.6,Healthy,False
2026-02-23,EDGE-006,Ubuntu 24.04,18.9,8.04,31.9,40.7,194.0,Healthy,False
2026-02-23,EDGE-007,Ubuntu 24.04,18.35,8.52,22.9,48.9,199.2,Healthy,False
2026-02-23,EDGE-008,Windows 11,14.72,14.41,49.1,69.4,275.8,Healthy,False
2026-02-23,EDGE-009,Ubuntu 24.04,16.24,13.7,61.2,37.2,351.0,Healthy,False
2026-02-23,EDGE-010,Ubuntu 24.04,21.34,10.11,58.8,37.1,216.3,Healthy,False
2026-02-24,EDGE-001,Windows XP,15.69,7.41,67.6,33.6,105.0,Healthy,False
2026-02-24,EDGE-002,Fedora 41,14.76,12.08,81.2,76.8,203.0,Warning,False
2026-02-24,EDGE-003,Ubuntu 24.04,21.49,2.58,41.1,76.9,8.0,Failure,False
2026-02-24,EDGE-004,Windows 11,21.17,0.34,61.3,66.4,298.9,Healthy,False
2026-02-24,EDGE-005,Windows XP,8.27,0.21,80.5,76.6,285.0,Warning,True
2026-02-24,EDGE-006,Ubuntu 24.04,11.61,2.7,88.8,35.6,226.5,Warning,False
2026-02-24,EDGE-007,Ubuntu 24.04,23.51,8.96,37.9,50.4,13.9,Failure,True
2026-02-24,EDGE-008,Windows 11,18.3,10.63,59.1,51.9,187.5,Healthy,False
2026-02-24,EDGE-009,Ubuntu 24.04,21.74,19.69,74.1,49.8,9.8,Failure,True
2026-02-24,EDGE-010,Ubuntu 24.04,11.65,11.01,20.8,47.4,21.1,Warning,True
2026-02-25,EDGE-001,Windows XP,24.0,3.43,53.7,36.2,20.1,Warning,False
2026-02-25,EDGE-002,Fedora 41,21.2,15.59,36.2,38.3,12.4,Failure,True
2026-02-25,EDGE-003,Ubuntu 24.04,19.83,19.29,36.1,41.7,276.8,Healthy,False
2026-02-25,EDGE-004,Windows 11,20.6,15.99,29.3,40.8,20.7,Warning,False
2026-02-25,EDGE-005,Windows XP,12.77,5.23,23.0,73.4,389.5,Healthy,False
2026-02-25,EDGE-006,Ubuntu 24.04,15.45,8.11,40.8,78.4,430.1,Healthy,False
2026-02-25,EDGE-007,Ubuntu 24.04,23.08,18.31,44.4,37.3,22.0,Warning,False
2026-02-25,EDGE-008,Windows 11,7.23,4.61,12.9,65.8,273.4,Healthy,False
2026-02-25,EDGE-009,Ubuntu 24.04,14.95,7.07,41.4,57.0,17.6,Warning,True
2026-02-25,EDGE-010,Ubuntu 24.04,22.15,20.8,39.2,70.2,295.9,Healthy,False
2026-02-26,EDGE-001,Windows XP,12.55,10.71,53.4,56.0,262.7,Healthy,False
2026-02-26,EDGE-002,Fedora 41,19.36,11.99,81.9,59.4,81.4,Warning,False
2026-02-26,EDGE-003,Ubuntu 24.04,16.97,15.68,63.1,53.9,152.5,Healthy,False
2026-02-26,EDGE-004,Windows 11,20.31,7.1,24.8,43.2,23.5,Warning,False
2026-02-26,EDGE-005,Windows XP,22.03,9.97,43.7,70.2,267.9,Healthy,False
2026-02-26,EDGE-006,Ubuntu 24.04,23.75,10.62,32.1,63.8,34.4,Warning,False
2026-02-26,EDGE-007,Ubuntu 24.04,21.74,14.86,49.3,66.5,14.3,Failure,True
2026-02-26,EDGE-008,Windows 11,19.53,5.2,50.6,47.6,180.0,Healthy,False
2026-02-26,EDGE-009,Ubuntu 24.04,20.87,19.84,21.0,69.4,108.1,Healthy,False
2026-02-26,EDGE-010,Ubuntu 24.04,15.38,12.46,46.9,59.2,140.5,Healthy,False
2026-02-27,EDGE-001,Windows XP,22.94,3.8,28.2,93.8,126.1,Failure,False
2026-02-27,EDGE-002,Fedora 41,14.54,3.77,29.3,79.5,288.2,Healthy,False
2026-02-27,EDGE-003,Ubuntu 24.04,17.56,12.37,36.0,25.0,8.0,Failure,False
2026-02-27,EDGE-004,Windows 11,22.66,10.03,18.0,99.4,206.5,Failure,True
2026-02-27,EDGE-005,Windows XP,24.0,12.94,30.9,34.1,316.6,Healthy,False
2026-02-27,EDGE-006,Ubuntu 24.04,24.0,4.4,36.3,45.1,244.7,Healthy,False
2026-02-27,EDGE-007,Ubuntu 24.04,19.57,5.44,50.6,60.7,218.3,Healthy,False
2026-02-27,EDGE-008,Windows 11,12.31,4.69,31.7,55.4,179.0,Healthy,False
2026-02-27,EDGE-009,Ubuntu 24.04,20.69,16.06,73.4,32.8,10.4,Failure,True
2026-02-27,EDGE-010,Ubuntu 24.04,20.58,2.55,32.3,46.3,186.6,Healthy,False
2026-02-28,EDGE-001,Windows XP,14.79,11.35,66.8,44.0,270.2,Healthy,False
2026-02-28,EDGE-002,Fedora 41,19.17,14.64,30.7,40.1,227.0,Healthy,False
2026-02-28,EDGE-003,Ubuntu 24.04,23.83,17.07,46.3,54.4,176.6,Healthy,False
2026-02-28,EDGE-004,Windows 11,19.99,11.88,23.5,84.0,58.4,Warning,False
2026-02-28,EDGE-005,Windows XP,3.95,0.48,45.5,57.4,149.4,Healthy,False
2026-02-28,EDGE-006,Ubuntu 24.04,17.87,17.7,88.8,23.9,134.2,Warning,False
2026-02-28,EDGE-007,Ubuntu 24.04,24.0,22.52,60.3,42.2,334.8,Healthy,False
2026-02-28,EDGE-008,Windows 11,18.82,3.06,26.1,12.5,206.9,Healthy,False
2026-02-28,EDGE-009,Ubuntu 24.04,24.0,9.59,50.1,23.8,20.2,Warning,False
2026-02-28,EDGE-010,Ubuntu 24.04,11.31,9.25,48.8,63.5,8.0,Failure,True
2026-03-01,EDGE-001,Windows XP,10.5,7.92,26.2,83.2,248.6,Warning,False
2026-03-01,EDGE-002,Fedora 41,17.5,13.79,28.4,55.8,73.5,Healthy,False
